title,url,address,latitude,longitude,price,info,description
Room Available October 1st,https://www.kijiji.ca/v-apartments-condos/st-johns/room-available-october-1st/1743001674,"Carbonear, NL A1Y 1A6",47.780251446078,-53.235243443975,$625,Bedrooms: 1 *** Bathrooms: 2.5 *** Size (sq ft): 120 *** Pets Allowed: No *** Lease Length: month-to-month,"Room available on lower level in a quiet house located at 127 Moss Heather Drive, St. Johns. Great location for students. House is fully furnishRed with Wifi, washer &amp; dryer and patio/deck. House is ..."
Stunning apartment for rent in old downtown St. John&apos;s,https://www.kijiji.ca/v-apartments-condos/st-johns/stunning-apartment-for-rent-in-old-downtown-st-johns/1743001277,"25 Military Road, St. John&apos;s, NL",47.571164997095,-52.703476982519,$1875,Bedrooms: 1.5 *** Bathrooms: 1 *** Size (sq ft): 800 *** Pets Allowed: No *** Lease Length: month-to-month,"Beautifully decorated in an historic home in downtown area. WIFI, Cable TV, heat light and power included. Located across the street from Bus Stop. Minutes from everything you need and want."
Lovely home in the City Centre of St. John&apos;s.,https://www.kijiji.ca/v-apartments-condos/st-johns/lovely-home-in-the-city-centre-of-st-johns/1742149155,"21 1/2 Guy Street, St. John&apos;s, NL, A1B 1P4",47.566826901197,-52.733470784842,$2200,Bedrooms: 3 *** Bathrooms: 1 *** Size (sq ft): 0 *** Pets Allowed: No *** Lease Length: one-year,"21 1/2 Guy Street, St. Johns - 3 Bedrooms / 1 Bathroom /Washer &amp; Dryer / Dishwasher - $2200 P.O.U. This lovely home is conveniently located in the centre of St. Johns. The open concept kitchen, ..."
Nice 3 Bedroom House in Paradise,https://www.kijiji.ca/v-apartments-condos/st-johns/nice-3-bedroom-house-in-paradise/1742329805,"16 Cameo Drive, Paradise, NL, A1L 2T7",47.544460714583,-52.887942471024,$1800,Bedrooms: 3 *** Bathrooms: 2 *** Size (sq ft): 0 *** Pets Allowed: No *** Lease Length: one-year,"Available immediately - a bright and open main floor apartment on a quiet cul-de-sac. The open concept kitchen, dining area, and living room is great for entertaining. The kitchen includes a ..."
"BEAUTIFULLY RENOVATED 2-BEDROOM | EAST END | $1,850 POU",https://www.kijiji.ca/v-apartments-condos/st-johns/beautifully-renovated-2-bedroom-east-end-1-850-pou/1742963091,"St. John&apos;s, NL A1A 1K8",47.583607094168,-52.698903648508,$1850,Bedrooms: 2 *** Bathrooms: 1 *** Size (sq ft): 800 *** Pets Allowed: No *** Lease Length: one-year,"This beautiful two-bedroom East End unit has been newly and thoughtfully renovated from top to bottom, creating a fresh, modern and inviting space that feels brand new. ✨ Highlights include: • Two ..."
3 Bed 2 Bath 2 Floor Townhouse in Kenmount Terrace,https://www.kijiji.ca/v-apartments-condos/st-johns/3-bed-2-bath-2-floor-townhouse-in-kenmount-terrace/1742950802,"St. John&apos;s, NL A1B 0L7, Canada",47.555801932493,-52.801034707949,$2500,Bedrooms: 3.5 *** Bathrooms: 2 *** Size (sq ft): 1700 *** Pets Allowed: No *** Lease Length: one-year,"Come enjoy the community, peace and privacy of Kenmount Terrace. Un-Furnished 3 Beds 2 Bath Main floor unit. Newly constructed House! (Feb 2024) Big open windows, lots of natural light, modern open ..."
Kelly&apos;s Brook - 1 Bedroom 1 Bath Apartment for Rent,https://www.kijiji.ca/v-apartments-condos/st-johns/kellys-brook-1-bedroom-1-bath-apartment-for-rent/1742631641,"346 Empire Avenue, St. John&apos;s, NL, A1E 1W4",47.558335991371,-52.738453993918,$1155,Bedrooms: 1 *** Bathrooms: 1 *** Size (sq ft): 0 *** Pets Allowed: No *** Lease Length: one-year,"Current Promotions: Kelly&apos;s Brook is a 3-storey building with 122 suites, offering bachelor, 1-bedroom and 2-bedroom, 1 bathroom homes. All homes come with a fully equipped kitchen. Flooring options ..."
Fully Furnished 1 Bed 1 Bath in Downtown - Unit A Available!,https://www.kijiji.ca/v-apartments-condos/st-johns/fully-furnished-1-bed-1-bath-in-downtown-unit-a-available/1741881373,"5 Alexander Street, St. John&apos;s, NL, A1A 1A1",47.570642092065,-52.696134351518,$1100,Bedrooms: 1 *** Bathrooms: 1 *** Size (sq ft): 0 *** Pets Allowed: Yes *** Lease Length: one-year,"These fully furnished , cozy units are perfect for one or two people, located within walking distance to Water Street and convenience stores with a bus stop at the end of the street. All you need to ..."
"Bright, Open 2 Bedroom home Walking Distance to MUN.",https://www.kijiji.ca/v-apartments-condos/st-johns/bright-open-2-bedroom-home-walking-distance-to-mun/1741881368,"165A University Avenue, St. John&apos;s, NL, A1B 1Z6",47.566523015297,-52.742320984948,$1150,Bedrooms: 2 *** Bathrooms: 1 *** Size (sq ft): 1000 *** Pets Allowed: No *** Lease Length: one-year,This apartment is perfect for friends going to school. The apartment features: - 2 bedrooms - Open concept livingroom and kitchen - Fridge and stove - Washer and dryer - Parking for 2 vehicles ...
1 Bed 1 Bath Apartment in Center City!,https://www.kijiji.ca/v-apartments-condos/st-johns/1-bed-1-bath-apartment-in-center-city/1742501113,"11-13A Freshwater Road, St. John&apos;s, NL, A1A 1A1",47.564011549521,-52.715629325472,$1050,Bedrooms: 1 *** Bathrooms: 1 *** Size (sq ft): 0 *** Pets Allowed: No *** Lease Length: one-year,"This cozy 1 bedroom 1 bathroom apartment is located in the center of St. John&apos;s, within walking distance to convenience stores, Coleman&apos;s, Old Dublin Bakery, downtown St. John&apos;s and more! Features: - ..."
"31 Lions Rd - Amazing 3 Bedroom, 2.5 Bathroom With Deck",https://www.kijiji.ca/v-apartments-condos/st-johns/31-lions-rd-amazing-3-bedroom-2-5-bathroom-with-deck/1742902345,"31 Lions Rd, St John&apos;s, NL, A1E 0C2",47.550438604108,-52.749794625095,$2500,Bedrooms: 3 *** Bathrooms: 2.5 *** Size (sq ft): 0 *** Pets Allowed: No *** Lease Length: one-year,"31 Lions Road $2,500 POU Welcome home to this spacious and well-appointed 3-bedroom main floor home located on sought-after Lions Road. Offering modern comfort, functional living space, and beautiful ..."
11A Aylward Pl -  Huge Two Bedroom with Two Vehicle Parking,https://www.kijiji.ca/v-apartments-condos/st-johns/11a-aylward-pl-huge-two-bedroom-with-two-vehicle-parking/1742902332,"11 Aylward Place, St John’s, NL, A1G 1K2",47.51371199615,-52.753858004116,$1100,Bedrooms: 2 *** Bathrooms: 1 *** Size (sq ft): 0 *** Pets Allowed: No *** Lease Length: one-year,"11A Aylward Placeis a very well kept, spacious and bright two bedroom apartment located on a quiet cup-de-sac in Kilbride just off the Main Rd. This apartment is complete with new laminate flooring ..."
265C Water St - Spacious Two Bedroom Basement Apt,https://www.kijiji.ca/v-apartments-condos/st-johns/265c-water-st-spacious-two-bedroom-basement-apt/1742902334,"265 Water Street, Bay Roberts, NL, A0A 1G0",47.595224998703,-53.259455241849,$900,Bedrooms: 2 *** Bathrooms: 1 *** Size (sq ft): 0 *** Pets Allowed: No *** Lease Length: one-year,"265C Water St is a spacious, 2 bedroom apartment located Water St in Bay Roberts, close to shopping, restuarants, grocery stores and more. This cozy and spacious unit has just been freshly painted ..."
50 Livingstone Street - Furnished Downtown Home,https://www.kijiji.ca/v-apartments-condos/st-johns/50-livingstone-street-furnished-downtown-home/1742902333,"50 Livingstone Street, St. John&apos;s, NL, A1C 1V6",47.5638659939,-52.711682027537,$1700,Bedrooms: 2 *** Bathrooms: 1 *** Size (sq ft): 0 *** Pets Allowed: No *** Lease Length: one-year,"50 Livingstone Street is a two bedroom, two story home located in a the heart of Downtown, St John&apos;s and within walking distance to The Mary Browns Centre, St John&apos;s Convention Centre, The Ever ..."
77A Rennies Mill Rd - Fully Furnished Main Floor Bannerman Park,https://www.kijiji.ca/v-apartments-condos/st-johns/77a-rennies-mill-rd-fully-furnished-main-floor-bannerman-park/1742902335,"77A Rennies Mill Road, St. John&apos;s, NL, A1C 3R1",47.572171998942,-52.71033396605,$2650,Bedrooms: 3 *** Bathrooms: 1.5 *** Size (sq ft): 0 *** Pets Allowed: No *** Lease Length: one-year,"77A Rennies Mill Road is located right in the heart of St. John&apos;s and within walking distance to Signal Hill, The Battery, Quidi Vidi, Bannerman Park, cafes, fine dining, pubs, shopping, boutiques, ..."
Basement rent,https://www.kijiji.ca/v-apartments-condos/st-johns/basement-rent/1742871535,"Beauford Pl, St. John&apos;s, NL, A1a 5N4",47.611658271589,-52.725670534916,$1650,Bedrooms: 2 *** Bathrooms: 1 *** Size (sq ft): 90 *** Pets Allowed: No *** Lease Length: one-year,"Available 1st October School zone for Roncalli elementary and MC Donald junior high and the advantage is school bus comes right to your door step . Clean and well-maintained 2-bedroom, 1-bathroom ..."
"House for Rent. 3 Bed, 1 Bath. HEAT AND HOT WATER INCLUDED.",https://www.kijiji.ca/v-apartments-condos/st-johns/house-for-rent-3-bed-1-bath-heat-and-hot-water-included/1742855520,"Mount Pearl, NL A1N 1V7",47.516503379455,-52.804385960477,$2300,Bedrooms: 3 *** Bathrooms: 1 *** Size (sq ft): 1197 *** Pets Allowed: Yes *** Lease Length: one-year,"FOR RENT Available Sept 1st $2,300/month HEAT AND HOT WATER INCLUDED (oil heat) POU for electricity - averages $100/month or less 75% damage deposit Pets considered on a case by case basis No smoking ..."
Heat Included. Lemarchant Rd. Parking. Wash/dryer. Dishwasher,https://www.kijiji.ca/v-apartments-condos/st-johns/heat-included-lemarchant-rd-parking-wash-dryer-dishwasher/1742848401,"St. John&apos;s, NL A1C 2G9",47.562072685716,-52.71618587557,$1500,Bedrooms: 2 *** Bathrooms: 1 *** Size (sq ft): 900 *** Pets Allowed: No *** Lease Length: one-year,"Heat and hot water included in monthly rent. 59 Lemarchant Road, St. John&apos;s. Off street parking. Close to Levain bakery, good coffee, restaurants and Nova Yoga. Large apartment. Includes a space ..."
For rent- 3 bedroom + 1.5 bath house for rent in Elizabeth Park,https://www.kijiji.ca/v-apartments-condos/st-johns/for-rent-3-bedroom-1-5-bath-house-for-rent-in-elizabeth-park/1742838661,"Mount Pearl, NL A1N 0E8",47.528813545373,-52.815812506162,$2350,Bedrooms: 3 *** Bathrooms: 1.5 *** Size (sq ft): 1000 *** Pets Allowed: No *** Lease Length: one-year,3 Bedroom house on corner lot within Elizabeth Park. Upper level of house plus rec room in basement. Own driveway. Includes fenced backyard and lawncare. Snow removal not included. $2350 POU; ...
"73 Casey Street St. John&apos;s, Newfoundland &amp; Labrador",https://www.kijiji.ca/v-apartments-condos/st-johns/73-casey-street-st-johns-newfoundland-labrador/1741440441,"Casey Street, St. John&apos;s, NL, A1C4X6",47.558919009605,-52.714914116884,$2000,Bedrooms: 1 *** Bathrooms: 1 *** Size (sq ft): 0 *** Pets Allowed: No *** Lease Length: Not Available,"Situated in the heart of Downtown St. John&apos;s, this fully renovated, furnished unit is available for a mid-term lease beginning September 1st. (Flexible Terms Available) With careful consideration and ..."
"3 Bedroom, 1 Bath House for Rent",https://www.kijiji.ca/v-apartments-condos/st-johns/3-bedroom-1-bath-house-for-rent/1742830273,"St. John&apos;s, NL A1C 4R9",47.565971737525,-52.724248260597,$2300,Bedrooms: 3 *** Bathrooms: 1 *** Size (sq ft): 1600 *** Pets Allowed: Yes *** Lease Length: one-year,"Located on 126 Craigmillar Ave, upstairs of a 2 unit home for rent. The basement apartment is currently rented to a single person long term. Pet friendly, fenced in backyard, 2 car driveway (single ..."
Two Bed Room Apartment +Den,https://www.kijiji.ca/v-apartments-condos/st-johns/two-bed-room-apartment-den/1742827555,"St. John&apos;s, NL A1A",47.610621483,-52.725586414,$1700,Bedrooms: 2.5 *** Bathrooms: 1 *** Size (sq ft): 968 *** Pets Allowed: No *** Lease Length: one-year,"Main floor two bedroom +Den Apartment Just off Prince Philip Dr. near Marine Institute just minutes drive to MUN and CONA, 3 minutes walk to bus services (1, 14 &amp; 23). Available Sept 1st. Features: ..."
One Bedroom furnished and equipped with deck - downtown,https://www.kijiji.ca/v-apartments-condos/st-johns/one-bedroom-furnished-and-equipped-with-deck-downtown/1742825742,"St. John&apos;s, NL A1C 1T3",47.567383920572,-52.70738194357,$1750,Bedrooms: 1 *** Bathrooms: 1 *** Size (sq ft): 850 *** Pets Allowed: No *** Lease Length: one-year,"Bright and cozy two-storey, fully furnished and equipped one bedroom apartment located on a quiet downtown street on Jellybean Row. Deck off the living room with view of the Southside Hills, the ..."
Homeport Apartments - 2 Bedroom 1 Bath Apartment for Rent,https://www.kijiji.ca/v-apartments-condos/st-johns/homeport-apartments-2-bedroom-1-bath-apartment-for-rent/1742817279,"148 Torbay Rd, St. John&apos;s, NL, A1A 2G8",47.590037983651,-52.709301986131,$1550,Bedrooms: 2 *** Bathrooms: 1 *** Size (sq ft): 656 *** Pets Allowed: Yes *** Lease Length: one-year,Current Promotions: Homeport Apartments offers a variety of furnished and unfurnished suites. Executive apartments are recently renovated and feature air conditioning and stainless steel appliances. ...
Homeport Apartments - 2 Bedroom 1 Bath Apartment for Rent,https://www.kijiji.ca/v-apartments-condos/st-johns/homeport-apartments-2-bedroom-1-bath-apartment-for-rent/1742817278,"148 Torbay Rd, St. John&apos;s, NL, A1A 2G8",47.590037983651,-52.709301986131,$1550,Bedrooms: 2 *** Bathrooms: 2 *** Size (sq ft): 685 *** Pets Allowed: Yes *** Lease Length: one-year,Current Promotions: Homeport Apartments offers a variety of furnished and unfurnished suites. Executive apartments are recently renovated and feature air conditioning and stainless steel appliances. ...
Apartment for Rent,https://www.kijiji.ca/v-apartments-condos/st-johns/apartment-for-rent/1742817058,"St. John&apos;s, NL A1C",47.511244685,-52.662499849,$1400,Bedrooms: 1.5 *** Bathrooms: 1 *** Size (sq ft): 900 *** Pets Allowed: No *** Lease Length: one-year,2 bedroom apt for rent. Second room small and used as office or storage. This is a clean and quiet unit with great tenants in the other units. Looking for the same clean and quiet individual who is ...
"Bright, Spacious, Beautiful 3 bedroom main floor - West End",https://www.kijiji.ca/v-apartments-condos/st-johns/bright-spacious-beautiful-3-bedroom-main-floor-west-end/1741391878,"34 Fitzgibbon Street, St. John&apos;s, NL, A1E 2G1",47.54301001669,-52.73770498705,$2600,Bedrooms: 3 *** Bathrooms: 1 *** Size (sq ft): 1800 *** Pets Allowed: No *** Lease Length: one-year,This recently renovated home features: - A spacious master bedroom - Two more good sized bedrooms. - Basement laundry - Spacious garage - Beautiful hardwood floors throughout Comes with: - Fridge ...
Bright &amp; Beautiful Detached Historic Home in Rabbittown for Rent,https://www.kijiji.ca/v-apartments-condos/st-johns/bright-beautiful-detached-historic-home-in-rabbittown-for-rent/1742773199,"St. John&apos;s, NL A1C 2N5",47.56380711103,-52.718371708281,$2200,Bedrooms: 2.5 *** Bathrooms: 1 *** Size (sq ft): 1200 *** Pets Allowed: No *** Lease Length: one-year,Bright &amp; Beautiful Detached Historic Home in Rabbittown for Rent This detached historic home is a dream for anyone who is looking for a walkable space close to many amenities. The house is located in ...
" bright 3 story, 4 bed, downtown house for rent",https://www.kijiji.ca/v-apartments-condos/st-johns/bright-3-story-4-bed-downtown-house-for-rent/1742759711,"139 Queens Rd, St. John&apos;s, NL A1C 2B4",47.563285002282,-52.710306976321,$2500,Bedrooms: 4 *** Bathrooms: 3 *** Size (sq ft): 2300 *** Pets Allowed: No *** Lease Length: one-year,"Bright 3 story house downtown St.John’s NL. 4 Bedrooms and 3 full bathrooms, large dining room, living room, eat in kitchen, and small kitchenette on the third floor. Hardwood floors. Small balcony ..."
"Beautiful Fully Furnished, Upper Level, 3-Bedroom, 2-Bath Home –",https://www.kijiji.ca/v-apartments-condos/st-johns/beautiful-fully-furnished-upper-level-3-bedroom-2-bath-home/1742754461,"Central Street, Bay Roberts, NL",47.600290062967,-53.250198017274,$2000,Bedrooms: 3 *** Bathrooms: 2 *** Size (sq ft): 1800 *** Pets Allowed: No *** Lease Length: one-year,"Available Now | Long-Term Rental After several successful years as a highly rated short term rental, we have decided to transition the property to a long-term rental. We are looking for the right ..."
2 bedroom 1 bathroom condo - fully furnished ,https://www.kijiji.ca/v-apartments-condos/st-johns/2-bedroom-1-bathroom-condo-fully-furnished/1742745225,"100 Elizabeth Ave, St. John&apos;s, NL A1B 1R9",47.581264980874,-52.715591011902,$2800,Bedrooms: 2 *** Bathrooms: 1 *** Size (sq ft): 1120 *** Pets Allowed: No *** Lease Length: month-to-month,"For rent: 2 Bedroom Condo located in Elizabeth Towers on Elizabeth Avenue. Fully furnished and fully equipped kitchen with balcony. Available November, 2026. Quiet building. Free parking. A Pet may ..."
1 Bedroom Apartment with Washer &amp; Dryer in Paradise,https://www.kijiji.ca/v-apartments-condos/st-johns/1-bedroom-apartment-with-washer-dryer-in-paradise/1742743878,"16 Cameo Drive, Paradise, NL, A1L 2T7",47.544460714583,-52.887942471024,$1050,Bedrooms: 1 *** Bathrooms: 1 *** Size (sq ft): 0 *** Pets Allowed: No *** Lease Length: one-year,"16A Cameo Drive, Paradise - 1 Bedroom / 1 Bathroom - Washer &amp; Dryer - $1050 P.O.U This bright and spacious one bedroom basement apartment is located on a quiet cul-de-sac. The kitchen includes a ..."
"3-Bedroom Apartment for Rent – Elizabeth Park, Paradise, NL",https://www.kijiji.ca/v-apartments-condos/st-johns/3-bedroom-apartment-for-rent-elizabeth-park-paradise-nl/1742725878,A1L1E5 ,47.543761286672,-52.836610103416,$2050,Bedrooms: 3 *** Bathrooms: 1.5 *** Size (sq ft): 1200 *** Pets Allowed: No *** Lease Length: one-year,"Spacious 3-bedroom apartment on the top floor of a house, located in a quiet and desirable neighbourhood. ️ 3 Bedrooms 2 Parking Spaces Top-Floor Apartment Available September 15, 2026 POU Convenient ..."
all inclusive furnished 1bdrm apt downtown ,https://www.kijiji.ca/v-apartments-condos/st-johns/all-inclusive-furnished-1bdrm-apt-downtown/1742714345,"Rawlins Cross, St. John&apos;s, NL A1C 3T1",47.569185191565,-52.709119009184,$1950,Bedrooms: 1.5 *** Bathrooms: 1 *** Size (sq ft): 1000 *** Pets Allowed: No *** Lease Length: month-to-month,"This unique one bedroom suite has a large cedar sunroom with a spectacular view of the narrows. Fully furnished, this beautiful apartment is located in the &quot;Heart&quot; of historic St. John&apos;s and has ..."
"134 Portugal Cove Road Unit#111 St. John&apos;s, Newfoundland &amp; Labra",https://www.kijiji.ca/v-apartments-condos/st-johns/134-portugal-cove-road-unit-111-st-johns-newfoundland-labra/1742707167,"Portugal Cove Road Unit#111, St. John&apos;s, NL, A1B2N2",47.589847882087,-52.717983207068,$2250,Bedrooms: 2 *** Bathrooms: 2 *** Size (sq ft): 0 *** Pets Allowed: No *** Lease Length: Not Available,"Spacious main-floor condo in the highly sought-after Highgate Condominium community. Surrounded by beautifully maintained grounds and a picturesque central courtyard, this well-managed building is ..."
"Downtown St. Johns, Fully Inclusive - 2 bedroom",https://www.kijiji.ca/v-apartments-condos/st-johns/downtown-st-johns-fully-inclusive-2-bedroom/1741321030,"111B Pleasant Street, St. John&apos;s, NL, A1B 1V5",47.556305014322,-52.717183992601,$2275,Bedrooms: 2 *** Bathrooms: 2 *** Size (sq ft): 0 *** Pets Allowed: No *** Lease Length: one-year,"This FULLY FURNISHED and UTILITIES &amp; INTERNET INCLUDED 2 bedroom apartment is the perfect spot for a couple or friends wanting to share a space! Located in beautiful Downtown St. John&apos;s, this home ..."
"84A Hamiltion Ave - Spacious, 3 bedroom, Multi-Level Unit",https://www.kijiji.ca/v-apartments-condos/st-johns/84a-hamiltion-ave-spacious-3-bedroom-multi-level-unit/1742689074,"84A Hamilton Ave, St John&apos;s, NL, A1C 3R1",47.5549590064,-52.717018030918,$1850,Bedrooms: 3 *** Bathrooms: 2.5 *** Size (sq ft): 0 *** Pets Allowed: No *** Lease Length: one-year,"84 Hamilton Avenue - Spacious 3 Bedroom, mulit-level unit. $1,850/month, POU This spacious three-bedroom apartment spans three floors, offering plenty of room and a unique, functional layout. ..."
St. George&apos;s Court - Studio Apartment for Rent,https://www.kijiji.ca/v-apartments-condos/st-johns/st-georges-court-studio-apartment-for-rent/1741255500,"2 St. George&apos;s Court, St. John&apos;s, NL, A1C 4J5",47.566231995619,-52.718227958641,$1234,Bedrooms: 0 *** Bathrooms: 1 *** Size (sq ft): 380 *** Pets Allowed: No *** Lease Length: one-year,"Current Promotions: St. George&apos;s Court offers 69 studio, one- and two-bedroom suites in two buildings. Residents here enjoy access to a commmunity green space. St. George&apos;s Court is centrally ..."
"14 Cavell Avenue St. John&apos;s, Newfoundland &amp; Labrador",https://www.kijiji.ca/v-apartments-condos/st-johns/14-cavell-avenue-st-johns-newfoundland-labrador/1742613836,"Cavell Avenue, St. John&apos;s, NL, A1A1C7",47.573880482267,-52.696988509361,$3800,Bedrooms: 3 *** Bathrooms: 1 *** Size (sq ft): 0 *** Pets Allowed: No *** Lease Length: Not Available,"Situated in the heart of Quidi Vidi in St. John&apos;s, this timeless, fully-furnished home has just undergone an extensive renovation process. Available for a long-term lease beginning November 1st. ..."
"454 Seaforest Drive Cupids, Newfoundland &amp; Labrador",https://www.kijiji.ca/v-apartments-condos/st-johns/454-seaforest-drive-cupids-newfoundland-labrador/1742568103,"Seaforest Drive, Cupids, NL, A0A2B0",47.555081172639,-53.201417016425,$1800,Bedrooms: 3 *** Bathrooms: 2 *** Size (sq ft): 0 *** Pets Allowed: No *** Lease Length: Not Available,"Available for lease at $1,800/month POU, with furnishings included, this beautifully restored two-storey home offers a rare opportunity to enjoy character, history and modern-day comfort in an ..."
ROOM AVAILABLE IN 3 BED STUDENT APARTMENT NEXT TO MUN,https://www.kijiji.ca/v-apartments-condos/st-johns/room-available-in-3-bed-student-apartment-next-to-mun/1742529436,"10 Lambe&apos;s Lane, St. John&apos;s, NL",47.568823854122,-52.735503865032,$990,Bedrooms: 3 *** Bathrooms: 1 *** Size (sq ft): 500 *** Pets Allowed: No *** Lease Length: one-year,"ROOM AVAILABLE IN A FEMALE OR COED 3 BED STUDENT APARTMENT W/ ALL FURNITURE, UTILITIES AND AMENITY SPACES INLCUDED Availability: -One room left in a coed 3 bed apartment -One room left in a female 3 ..."
